Tab-delimited Protein to Protein Blast Summary:
Query database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/GCF_005190385.1_NGI_Narwhal_1_protein_subset.fasta
Hit database: /Users/pwilmart/Desktop/TimeMachineSkip/Phil/Ben_annotation_example/BLAST/2019.06_UP000005640_9606_Homo_sapiens_canonical.fasta


query_number	query_acc	query_desc	hit_acc	hit_desc	blast_scores	match_status	query_aa	hit_aa	alignment_aa	identity_aa	positive_aa	pc_identity	pc_postive	bit_score
84	XP_029067726.1	soluble calcium-activated nucleotidase 1 isoform X1 [Monodon monoceros]	sp|Q08380|LG3BP_HUMAN	Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1	ident:409/553 pos:461/553 query:553 hit:585 align:585 bit:844.7	OK	553	585	585	409	461	74.0	83.4	844.7
85	XP_029067925.1	histone H3.3 [Monodon monoceros]	sp|P84243|H33_HUMAN	Histone H3.3 OS=Homo sapiens OX=9606 GN=H3F3B PE=1 SV=2	ident:136/136 pos:136/136 query:136 hit:136 align:136 bit:273.9	OK	136	136	136	136	136	100.0	100.0	273.9
86	XP_029068300.1	beta-2-glycoprotein 1 isoform X1 [Monodon monoceros]	sp|P02749|APOH_HUMAN	Beta-2-glycoprotein 1 OS=Homo sapiens OX=9606 GN=APOH PE=1 SV=3	ident:283/345 pos:311/345 query:345 hit:345 align:345 bit:587.4	OK	345	345	345	283	311	82.0	90.1	587.4
87	XP_029068532.1	eukaryotic translation initiation factor 5A-1 [Monodon monoceros]	sp|P63241|IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2	ident:154/154 pos:154/154 query:154 hit:154 align:154 bit:318.9	OK	154	154	154	154	154	100.0	100.0	318.9
88	XP_029069027.1	progranulin isoform X1 [Monodon monoceros]	sp|P28799|GRN_HUMAN	Progranulin OS=Homo sapiens OX=9606 GN=GRN PE=1 SV=2	ident:473/587 pos:521/587 query:587 hit:593 align:592 bit:951.8	OK	587	593	592	473	521	80.6	88.8	951.8
89	XP_029069059.1	pigment epithelium-derived factor isoform X1 [Monodon monoceros]	sp|P36955|PEDF_HUMAN	Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4	ident:366/416 pos:389/416 query:416 hit:418 align:417 bit:745.7	OK	416	418	417	366	389	88.0	93.5	745.7
90	XP_029069443.1	alpha-2-HS-glycoprotein isoform X1 [Monodon monoceros]	sp|P02765|FETUA_HUMAN	Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2	ident:236/360 pos:268/360 query:360 hit:367 align:356 bit:433.3	OK	360	367	356	236	268	65.6	74.4	433.3
91	XP_029069454.1	biotinidase [Monodon monoceros]	sp|P43251|BTD_HUMAN	Biotinidase OS=Homo sapiens OX=9606 GN=BTD PE=1 SV=2	ident:437/527 pos:481/527 query:527 hit:543 align:527 bit:941.8	OK	527	543	527	437	481	82.9	91.3	941.8
92	XP_029069584.1	LOW QUALITY PROTEIN: protein phosphatase 2C-like domain-containing protein 1 [Monodon monoceros]	sp|A8MPX8|PP2D1_HUMAN	Protein phosphatase 2C-like domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PP2D1 PE=2 SV=2	ident:457/621 pos:513/621 query:621 hit:630 align:633 bit:900.2	OK	621	630	633	457	513	73.6	82.6	900.2
93	XP_029069633.1	LOW QUALITY PROTEIN: hemoglobin subunit beta-like [Monodon monoceros]	sp|P68871|HBB_HUMAN	Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2	ident:127/147 pos:134/147 query:147 hit:147 align:147 bit:261.9	OK	147	147	147	127	134	86.4	91.2	261.9
94	XP_029069747.1	serotransferrin-like [Monodon monoceros]	sp|P02787|TRFE_HUMAN	Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3	ident:502/706 pos:585/706 query:706 hit:698 align:706 bit:1039.2	OK	706	698	706	502	585	71.1	82.9	1039.2
95	XP_029069855.1	histone H2B type 2-E-like [Monodon monoceros]	sp|Q16778|H2B2E_HUMAN	Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=HIST2H2BE PE=1 SV=3	ident:124/126 pos:125/126 query:126 hit:126 align:126 bit:250.4	OK	126	126	126	124	125	98.4	99.2	250.4
96	XP_029070098.1	T-lymphocyte activation antigen CD86 isoform X1 [Monodon monoceros]	sp|P42081|CD86_HUMAN	T-lymphocyte activation antigen CD86 OS=Homo sapiens OX=9606 GN=CD86 PE=1 SV=2	ident:203/334 pos:247/334 query:334 hit:329 align:336 bit:368.6	OK	334	329	336	203	247	60.8	74.0	368.6
97	XP_029070160.1	ephrin type-A receptor 3 isoform X1 [Monodon monoceros]	sp|P29320|EPHA3_HUMAN	Ephrin type-A receptor 3 OS=Homo sapiens OX=9606 GN=EPHA3 PE=1 SV=2	ident:955/984 pos:969/984 query:984 hit:983 align:984 bit:1999.6	OK	984	983	984	955	969	97.1	98.5	1999.6
98	XP_029070181.1	kininogen-1 isoform X1 [Monodon monoceros]	sp|P01042|KNG1_HUMAN	Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2	ident:465/627 pos:522/627 query:627 hit:644 align:649 bit:920.6	OK	627	644	649	465	522	74.2	83.3	920.6
99	XP_029070288.1	mannan-binding lectin serine protease 1 isoform X1 [Monodon monoceros]	sp|P48740|MASP1_HUMAN	Mannan-binding lectin serine protease 1 OS=Homo sapiens OX=9606 GN=MASP1 PE=1 SV=3	ident:493/728 pos:558/728 query:728 hit:699 align:725 bit:985.3	OK	728	699	725	493	558	67.7	76.6	985.3
100	XP_029070349.1	transferrin receptor protein 1 isoform X1 [Monodon monoceros]	sp|P02786|TFR1_HUMAN	Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2	ident:606/772 pos:675/772 query:772 hit:760 align:763 bit:1269.6	OK	772	760	763	606	675	78.5	87.4	1269.6
101	XP_029070386.1	ceruloplasmin isoform X2 [Monodon monoceros]	sp|P00450|CERU_HUMAN	Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1	ident:934/1061 pos:991/1061 query:1061 hit:1065 align:1066 bit:1955.6	OK	1061	1065	1066	934	991	88.0	93.4	1955.6
102	XP_029070470.1	apolipoprotein D [Monodon monoceros]	sp|P05090|APOD_HUMAN	Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1	ident:144/213 pos:155/213 query:213 hit:189 align:174 bit:309.3	OK	213	189	174	144	155	67.6	72.8	309.3
103	XP_029070644.1	fetuin-B [Monodon monoceros]	sp|Q9UGM5|FETUB_HUMAN	Fetuin-B OS=Homo sapiens OX=9606 GN=FETUB PE=1 SV=2	ident:252/384 pos:295/384 query:384 hit:382 align:371 bit:494.2	OK	384	382	371	252	295	65.6	76.8	494.2
104	XP_029070689.1	adiponectin [Monodon monoceros]	sp|Q15848|ADIPO_HUMAN	Adiponectin OS=Homo sapiens OX=9606 GN=ADIPOQ PE=1 SV=1	ident:192/242 pos:207/242 query:242 hit:244 align:229 bit:394.0	OK	242	244	229	192	207	79.3	85.5	394.0
105	XP_029070704.1	inhibitor of carbonic anhydrase isoform X1 [Monodon monoceros]	sp|P02787|TRFE_HUMAN	Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=3	ident:467/702 pos:550/702 query:702 hit:698 align:710 bit:949.1	OK	702	698	710	467	550	66.5	78.3	949.1
106	XP_029070831.1	beta-2-microglobulin [Monodon monoceros]	sp|P61769|B2MG_HUMAN	Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1	ident:77/118 pos:88/118 query:118 hit:119 align:102 bit:170.6	OK	118	119	102	77	88	65.3	74.6	170.6
107	XP_029070926.1	superoxide dismutase [Cu-Zn] [Monodon monoceros]	sp|P00441|SODC_HUMAN	Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2	ident:130/153 pos:141/153 query:153 hit:154 align:154 bit:258.5	OK	153	154	154	130	141	85.0	92.2	258.5
108	XP_029071163.1	interleukin-1 receptor accessory protein [Monodon monoceros]	sp|Q9NPH3|IL1AP_HUMAN	Interleukin-1 receptor accessory protein OS=Homo sapiens OX=9606 GN=IL1RAP PE=1 SV=2	ident:443/685 pos:500/685 query:685 hit:570 align:567 bit:916.0	OK	685	570	567	443	500	64.7	73.0	916.0
109	XP_029071249.1	vitamin K-dependent protein S [Monodon monoceros]	sp|P07225|PROS_HUMAN	Vitamin K-dependent protein S OS=Homo sapiens OX=9606 GN=PROS1 PE=1 SV=1	ident:573/675 pos:617/675 query:675 hit:676 align:676 bit:1180.2	OK	675	676	676	573	617	84.9	91.4	1180.2
110	XP_029071321.1	carboxypeptidase N subunit 2 [Monodon monoceros]	sp|P22792|CPN2_HUMAN	Carboxypeptidase N subunit 2 OS=Homo sapiens OX=9606 GN=CPN2 PE=1 SV=3	ident:420/547 pos:469/547 query:547 hit:545 align:547 bit:814.7	OK	547	545	547	420	469	76.8	85.7	814.7
111	XP_029071450.1	cathelicidin-6-like, partial [Monodon monoceros]	sp|P49913|CAMP_HUMAN	Cathelicidin antimicrobial peptide OS=Homo sapiens OX=9606 GN=CAMP PE=1 SV=1	ident:74/135 pos:97/135 query:135 hit:170 align:120 bit:156.0	OK	135	170	120	74	97	54.8	71.9	156.0
112	XP_029071635.1	complement C3 [Monodon monoceros]	sp|P01024|CO3_HUMAN	Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2	ident:1295/1660 pos:1467/1660 query:1660 hit:1663 align:1664 bit:2695.2	OK	1660	1663	1664	1295	1467	78.0	88.4	2695.2
113	XP_029072079.1	bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 [Monodon monoceros]	sp|P52848|NDST1_HUMAN	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 OS=Homo sapiens OX=9606 GN=NDST1 PE=1 SV=1	ident:864/882 pos:871/882 query:882 hit:882 align:882 bit:1803.1	OK	882	882	882	864	871	98.0	98.8	1803.1
114	XP_029072109.1	glutathione peroxidase 3 [Monodon monoceros]	sp|P22352|GPX3_HUMAN	Glutathione peroxidase 3 OS=Homo sapiens OX=9606 GN=GPX3 PE=1 SV=2	ident:198/226 pos:208/226 query:226 hit:226 align:226 bit:394.4	OK	226	226	226	198	208	87.6	92.0	394.4
115	XP_029072214.1	complement component C6 isoform X1 [Monodon monoceros]	sp|P13671|CO6_HUMAN	Complement component C6 OS=Homo sapiens OX=9606 GN=C6 PE=1 SV=3	ident:777/934 pos:853/934 query:934 hit:934 align:932 bit:1639.8	OK	934	934	932	777	853	83.2	91.3	1639.8
116	XP_029072224.1	selenoprotein P isoform X1 [Monodon monoceros]	sp|P49908|SEPP1_HUMAN	Selenoprotein P OS=Homo sapiens OX=9606 GN=SELENOP PE=1 SV=3	ident:287/380 pos:312/380 query:380 hit:381 align:381 bit:546.6	OK	380	381	381	287	312	75.5	82.1	546.6
117	XP_029072270.1	complement component C7 isoform X1 [Monodon monoceros]	sp|P10643|CO7_HUMAN	Complement component C7 OS=Homo sapiens OX=9606 GN=C7 PE=1 SV=2	ident:712/843 pos:768/843 query:843 hit:843 align:842 bit:1448.3	OK	843	843	842	712	768	84.5	91.1	1448.3
118	XP_029072371.1	ras GTPase-activating-like protein IQGAP2 isoform X1 [Monodon monoceros]	sp|Q13576|IQGA2_HUMAN	Ras GTPase-activating-like protein IQGAP2 OS=Homo sapiens OX=9606 GN=IQGAP2 PE=1 SV=4	ident:1428/1575 pos:1500/1575 query:1575 hit:1575 align:1575 bit:2919.0	OK	1575	1575	1575	1428	1500	90.7	95.2	2919.0
119	XP_029072425.1	macrophage colony-stimulating factor 1 receptor [Monodon monoceros]	sp|P07333|CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor OS=Homo sapiens OX=9606 GN=CSF1R PE=1 SV=2	ident:808/961 pos:861/961 query:961 hit:972 align:973 bit:1607.0	OK	961	972	973	808	861	84.1	89.6	1607.0
120	XP_029072458.1	complement component C9 [Monodon monoceros]	sp|P02748|CO9_HUMAN	Complement component C9 OS=Homo sapiens OX=9606 GN=C9 PE=1 SV=2	ident:397/548 pos:468/548 query:548 hit:559 align:549 bit:839.0	OK	548	559	549	397	468	72.4	85.4	839.0
121	XP_029072634.1	proteasome subunit alpha-type 8 [Monodon monoceros]	sp|Q8TAA3|PSMA8_HUMAN	Proteasome subunit alpha-type 8 OS=Homo sapiens OX=9606 GN=PSMA8 PE=2 SV=3	ident:220/250 pos:227/250 query:250 hit:256 align:238 bit:451.4	OK	250	256	238	220	227	88.0	90.8	451.4
122	XP_029072848.1	tropomyosin alpha-4 chain isoform X2 [Monodon monoceros]	sp|P67936|TPM4_HUMAN	Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3	ident:248/248 pos:248/248 query:248 hit:248 align:248 bit:467.2	OK	248	248	248	248	248	100.0	100.0	467.2
123	XP_029073028.1	thymosin beta-4 [Monodon monoceros]	sp|P62328|TYB4_HUMAN	Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2	ident:42/44 pos:44/44 query:44 hit:44 align:44 bit:82.4	OK	44	44	44	42	44	95.5	100.0	82.4
124	XP_029073059.1	lysosomal alpha-mannosidase [Monodon monoceros]	sp|O00754|MA2B1_HUMAN	Lysosomal alpha-mannosidase OS=Homo sapiens OX=9606 GN=MAN2B1 PE=1 SV=3	ident:815/1008 pos:882/1008 query:1008 hit:1011 align:1010 bit:1649.4	OK	1008	1011	1010	815	882	80.9	87.5	1649.4
125	XP_029073400.1	heparin cofactor 2 isoform X1 [Monodon monoceros]	sp|P05546|HEP2_HUMAN	Heparin cofactor 2 OS=Homo sapiens OX=9606 GN=SERPIND1 PE=1 SV=3	ident:376/542 pos:438/542 query:542 hit:499 align:499 bit:812.8	OK	542	499	499	376	438	69.4	80.8	812.8
126	XP_029073997.1	LOW QUALITY PROTEIN: immunoglobulin lambda-1 light chain-like [Monodon monoceros]	sp|P15814|IGLL1_HUMAN	Immunoglobulin lambda-like polypeptide 1 OS=Homo sapiens OX=9606 GN=IGLL1 PE=1 SV=1	ident:85/293 pos:100/293 query:293 hit:213 align:124 bit:173.7	Partial_match_query	293	213	124	85	100	29.0	34.1	173.7
127	XP_029074371.1	UV excision repair protein RAD23 homolog A isoform X1 [Monodon monoceros]	sp|P54725|RD23A_HUMAN	UV excision repair protein RAD23 homolog A OS=Homo sapiens OX=9606 GN=RAD23A PE=1 SV=1	ident:351/363 pos:353/363 query:363 hit:363 align:363 bit:708.4	OK	363	363	363	351	353	96.7	97.2	708.4
128	XP_029074398.1	transforming growth factor-beta-induced protein ig-h3 isoform X1 [Monodon monoceros]	sp|Q15582|BGH3_HUMAN	Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens OX=9606 GN=TGFBI PE=1 SV=1	ident:610/683 pos:643/683 query:683 hit:683 align:659 bit:1279.6	OK	683	683	659	610	643	89.3	94.1	1279.6
129	XP_029074454.1	complement C3-like isoform X2 [Monodon monoceros]	sp|P01024|CO3_HUMAN	Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2	ident:642/1706 pos:964/1706 query:1706 hit:1663 align:1622 bit:1159.0	OK	1706	1663	1622	642	964	37.6	56.5	1159.0
130	XP_029074462.1	peroxiredoxin-2 [Monodon monoceros]	sp|P32119|PRDX2_HUMAN	Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5	ident:183/198 pos:189/198 query:198 hit:198 align:198 bit:381.7	OK	198	198	198	183	189	92.4	95.5	381.7
131	XP_029074509.1	monocyte differentiation antigen CD14 [Monodon monoceros]	sp|P08571|CD14_HUMAN	Monocyte differentiation antigen CD14 OS=Homo sapiens OX=9606 GN=CD14 PE=1 SV=2	ident:271/372 pos:297/372 query:372 hit:375 align:361 bit:527.3	OK	372	375	361	271	297	72.8	79.8	527.3
132	XP_029074600.1	intercellular adhesion molecule 1 [Monodon monoceros]	sp|P05362|ICAM1_HUMAN	Intercellular adhesion molecule 1 OS=Homo sapiens OX=9606 GN=ICAM1 PE=1 SV=2	ident:322/536 pos:381/536 query:536 hit:532 align:518 bit:621.3	OK	536	532	518	322	381	60.1	71.1	621.3
133	XP_029074612.1	N-acetylmuramoyl-L-alanine amidase [Monodon monoceros]	sp|Q96PD5|PGRP2_HUMAN	N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1	ident:427/571 pos:453/571 query:571 hit:576 align:554 bit:826.2	OK	571	576	554	427	453	74.8	79.3	826.2
134	XP_029074737.1	thrombospondin-4 [Monodon monoceros]	sp|P35443|TSP4_HUMAN	Thrombospondin-4 OS=Homo sapiens OX=9606 GN=THBS4 PE=1 SV=2	ident:885/961 pos:918/961 query:961 hit:961 align:961 bit:1721.4	OK	961	961	961	885	918	92.1	95.5	1721.4
135	XP_029074814.1	cartilage oligomeric matrix protein [Monodon monoceros]	sp|P49747|COMP_HUMAN	Cartilage oligomeric matrix protein OS=Homo sapiens OX=9606 GN=COMP PE=1 SV=2	ident:700/756 pos:713/756 query:756 hit:757 align:757 bit:1310.4	OK	756	757	757	700	713	92.6	94.3	1310.4
136	XP_029074982.1	neutrophil elastase [Monodon monoceros]	sp|P08246|ELNE_HUMAN	Neutrophil elastase OS=Homo sapiens OX=9606 GN=ELANE PE=1 SV=1	ident:176/308 pos:204/308 query:308 hit:267 align:250 bit:336.6	OK	308	267	250	176	204	57.1	66.2	336.6
137	XP_029074983.1	complement factor D [Monodon monoceros]	sp|P00746|CFAD_HUMAN	Complement factor D OS=Homo sapiens OX=9606 GN=CFD PE=1 SV=5	ident:208/259 pos:224/259 query:259 hit:253 align:247 bit:430.3	OK	259	253	247	208	224	80.3	86.5	430.3
138	XP_029075009.1	leucine-rich alpha-2-glycoprotein [Monodon monoceros]	sp|P02750|A2GL_HUMAN	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2	ident:249/354 pos:280/354 query:354 hit:347 align:346 bit:470.3	OK	354	347	346	249	280	70.3	79.1	470.3
139	XP_029075129.1	vasorin [Monodon monoceros]	sp|Q6EMK4|VASN_HUMAN	Vasorin OS=Homo sapiens OX=9606 GN=VASN PE=1 SV=1	ident:570/676 pos:590/676 query:676 hit:673 align:653 bit:965.7	OK	676	673	653	570	590	84.3	87.3	965.7
140	XP_029075184.1	cystatin-C-like [Monodon monoceros]	sp|P01034|CYTC_HUMAN	Cystatin-C OS=Homo sapiens OX=9606 GN=CST3 PE=1 SV=1	ident:79/147 pos:97/147 query:147 hit:146 align:125 bit:173.7	OK	147	146	125	79	97	53.7	66.0	173.7
141	XP_029075395.1	actin, cytoplasmic 1 [Monodon monoceros]	sp|P60709|ACTB_HUMAN	Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1	ident:375/375 pos:375/375 query:375 hit:375 align:375 bit:785.8	OK	375	375	375	375	375	100.0	100.0	785.8
142	XP_029075582.1	phospholipid transfer protein isoform X1 [Monodon monoceros]	sp|P55058|PLTP_HUMAN	Phospholipid transfer protein OS=Homo sapiens OX=9606 GN=PLTP PE=1 SV=1	ident:435/496 pos:452/496 query:496 hit:493 align:481 bit:888.6	OK	496	493	481	435	452	87.7	91.1	888.6
143	XP_029076453.1	attractin isoform X1 [Monodon monoceros]	sp|O75882|ATRN_HUMAN	Attractin OS=Homo sapiens OX=9606 GN=ATRN PE=1 SV=2	ident:1323/1420 pos:1352/1420 query:1420 hit:1429 align:1398 bit:2717.9	OK	1420	1429	1398	1323	1352	93.2	95.2	2717.9
144	XP_029076538.1	caspase recruitment domain-containing protein 11 isoform X1 [Monodon monoceros]	sp|Q9BXL7|CAR11_HUMAN	Caspase recruitment domain-containing protein 11 OS=Homo sapiens OX=9606 GN=CARD11 PE=1 SV=3	ident:1069/1216 pos:1121/1216 query:1216 hit:1154 align:1154 bit:2206.8	OK	1216	1154	1154	1069	1121	87.9	92.2	2206.8
145	XP_029076639.1	BPI fold-containing family A member 1 [Monodon monoceros]	sp|Q9NP55|BPIA1_HUMAN	BPI fold-containing family A member 1 OS=Homo sapiens OX=9606 GN=BPIFA1 PE=1 SV=1	ident:166/263 pos:196/263 query:263 hit:256 align:251 bit:255.0	OK	263	256	251	166	196	63.1	74.5	255.0
146	XP_029076667.1	insulin-like growth factor-binding protein complex acid labile subunit [Monodon monoceros]	sp|P35858|ALS_HUMAN	Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens OX=9606 GN=IGFALS PE=1 SV=1	ident:481/838 pos:521/838 query:838 hit:605 align:604 bit:918.7	OK	838	605	604	481	521	57.4	62.2	918.7
147	XP_029077124.1	lipopolysaccharide-binding protein isoform X1 [Monodon monoceros]	sp|P18428|LBP_HUMAN	Lipopolysaccharide-binding protein OS=Homo sapiens OX=9606 GN=LBP PE=1 SV=3	ident:357/537 pos:401/537 query:537 hit:481 align:467 bit:704.9	OK	537	481	467	357	401	66.5	74.7	704.9
148	XP_029077520.1	antileukoproteinase-like, partial [Monodon monoceros]	sp|P03973|SLPI_HUMAN	Antileukoproteinase OS=Homo sapiens OX=9606 GN=SLPI PE=1 SV=2	ident:40/131 pos:52/131 query:131 hit:132 align:77 bit:82.8	Poor_match	131	132	77	40	52	30.5	39.7	82.8
149	XP_029077588.1	fructose-bisphosphate aldolase A [Monodon monoceros]	sp|P04075|ALDOA_HUMAN	Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2	ident:352/364 pos:358/364 query:364 hit:364 align:364 bit:733.4	OK	364	364	364	352	358	96.7	98.4	733.4
150	XP_029077811.1	neuronal pentraxin-2 [Monodon monoceros]	sp|P47972|NPTX2_HUMAN	Neuronal pentraxin-2 OS=Homo sapiens OX=9606 GN=NPTX2 PE=1 SV=2	ident:391/431 pos:399/431 query:431 hit:431 align:414 bit:786.2	OK	431	431	414	391	399	90.7	92.6	786.2
151	XP_029078093.1	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [Monodon monoceros]	sp|Q99640|PMYT1_HUMAN	Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase OS=Homo sapiens OX=9606 GN=PKMYT1 PE=1 SV=1	ident:446/497 pos:463/497 query:497 hit:499 align:497 bit:802.0	OK	497	499	497	446	463	89.7	93.2	802.0
152	XP_029078261.1	gamma-glutamyl hydrolase [Monodon monoceros]	sp|Q92820|GGH_HUMAN	Gamma-glutamyl hydrolase OS=Homo sapiens OX=9606 GN=GGH PE=1 SV=2	ident:241/318 pos:261/318 query:318 hit:318 align:301 bit:506.5	OK	318	318	301	241	261	75.8	82.1	506.5
153	XP_029078496.1	14-3-3 protein zeta/delta [Monodon monoceros]	sp|P63104|1433Z_HUMAN	14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1	ident:245/245 pos:245/245 query:245 hit:245 align:245 bit:502.3	OK	245	245	245	245	245	100.0	100.0	502.3
154	XP_029078762.1	carbonic anhydrase 1 isoform X1 [Monodon monoceros]	sp|P00915|CAH1_HUMAN	Carbonic anhydrase 1 OS=Homo sapiens OX=9606 GN=CA1 PE=1 SV=2	ident:218/261 pos:240/261 query:261 hit:261 align:261 bit:463.8	OK	261	261	261	218	240	83.5	92.0	463.8
155	XP_029079084.1	carbonic anhydrase 2 [Monodon monoceros]	sp|P00918|CAH2_HUMAN	Carbonic anhydrase 2 OS=Homo sapiens OX=9606 GN=CA2 PE=1 SV=2	ident:226/260 pos:238/260 query:260 hit:260 align:260 bit:474.2	OK	260	260	260	226	238	86.9	91.5	474.2
156	XP_029079181.1	plasminogen isoform X1 [Monodon monoceros]	sp|P00747|PLMN_HUMAN	Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2	ident:662/812 pos:724/812 query:812 hit:810 align:812 bit:1373.6	OK	812	810	812	662	724	81.5	89.2	1373.6
157	XP_029080081.1	pantetheinase isoform X1 [Monodon monoceros]	sp|O95497|VNN1_HUMAN	Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2	ident:416/514 pos:449/514 query:514 hit:513 align:511 bit:872.5	OK	514	513	511	416	449	80.9	87.4	872.5
158	XP_029080674.1	fibronectin isoform X5 [Monodon monoceros]	sp|P02751|FINC_HUMAN	Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=4	ident:1588/2297 pos:1702/2297 query:2297 hit:2386 align:1902 bit:3216.0	OK	2297	2386	1902	1588	1702	69.1	74.1	3216.0
159	XP_029081115.1	insulin-like growth factor-binding protein 2 [Monodon monoceros]	sp|P18065|IBP2_HUMAN	Insulin-like growth factor-binding protein 2 OS=Homo sapiens OX=9606 GN=IGFBP2 PE=1 SV=2	ident:265/320 pos:270/320 query:320 hit:325 align:291 bit:500.0	OK	320	325	291	265	270	82.8	84.4	500.0
160	XP_029081236.1	prolyl endopeptidase FAP [Monodon monoceros]	sp|Q12884|SEPR_HUMAN	Prolyl endopeptidase FAP OS=Homo sapiens OX=9606 GN=FAP PE=1 SV=5	ident:712/760 pos:742/760 query:760 hit:760 align:760 bit:1508.8	OK	760	760	760	712	742	93.7	97.6	1508.8
161	XP_029081716.1	vitamin K-dependent protein C [Monodon monoceros]	sp|P04070|PROC_HUMAN	Vitamin K-dependent protein C OS=Homo sapiens OX=9606 GN=PROC PE=1 SV=1	ident:351/480 pos:389/480 query:480 hit:461 align:463 bit:731.1	OK	480	461	463	351	389	73.1	81.0	731.1
162	XP_029082184.1	coagulation factor XI isoform X1 [Monodon monoceros]	sp|P03951|FA11_HUMAN	Coagulation factor XI OS=Homo sapiens OX=9606 GN=F11 PE=1 SV=1	ident:525/633 pos:568/633 query:633 hit:625 align:624 bit:1122.1	OK	633	625	624	525	568	82.9	89.7	1122.1
163	XP_029082577.1	complement C1q subcomponent subunit A [Monodon monoceros]	sp|P02745|C1QA_HUMAN	Complement C1q subcomponent subunit A OS=Homo sapiens OX=9606 GN=C1QA PE=1 SV=2	ident:192/245 pos:218/245 query:245 hit:245 align:245 bit:375.6	OK	245	245	245	192	218	78.4	89.0	375.6
164	XP_029082744.1	protein S100-A9-like [Monodon monoceros]	sp|P06702|S10A9_HUMAN	Protein S100-A9 OS=Homo sapiens OX=9606 GN=S100A9 PE=1 SV=1	ident:68/128 pos:88/128 query:128 hit:114 align:113 bit:135.2	OK	128	114	113	68	88	53.1	68.8	135.2
165	XP_029082795.1	lymphocyte function-associated antigen 3 [Monodon monoceros]	sp|P19256|LFA3_HUMAN	Lymphocyte function-associated antigen 3 OS=Homo sapiens OX=9606 GN=CD58 PE=1 SV=1	ident:133/275 pos:167/275 query:275 hit:250 align:242 bit:246.5	OK	275	250	242	133	167	48.4	60.7	246.5
166	XP_029082867.1	complement C1q subcomponent subunit B [Monodon monoceros]	sp|P02746|C1QB_HUMAN	Complement C1q subcomponent subunit B OS=Homo sapiens OX=9606 GN=C1QB PE=1 SV=3	ident:205/558 pos:222/558 query:558 hit:253 align:252 bit:363.2	Partial_match_query	558	253	252	205	222	36.7	39.8	363.2
167	XP_029083007.1	CD5 antigen-like [Monodon monoceros]	sp|O43866|CD5L_HUMAN	CD5 antigen-like OS=Homo sapiens OX=9606 GN=CD5L PE=1 SV=1	ident:250/341 pos:282/341 query:341 hit:347 align:346 bit:502.7	OK	341	347	346	250	282	73.3	82.7	502.7
